HJD,RelFlux,RelFlux_err
2459123.5,0.9971525898025161,0.007286313411710461
2459123.5013947003,0.999594503461105,0.007304087408195392
2459123.5027894,1.0004634414467877,0.0073087725494598915
2459123.5041841003,1.0005517809322801,0.007309203554022954
2459123.5055788006,0.9967899912110705,0.007299909548582833
2459123.506973501,0.9991078289248674,0.0073147600589590096
2459123.5083682006,0.9969146603634597,0.007300249334301848
2459123.509762901,0.9972492132914105,0.007308083316924851
2459123.511157601,1.004988099625383,0.007354801150066991
2459123.5125523014,1.0003160168187264,0.007330706618608735
2459123.513947001,0.9968513933515897,0.007320122365678983
2459123.5153417015,1.0027200238086107,0.007352909595702602
2459123.5167364017,1.005250842700308,0.007366217612845144
2459123.518131102,1.0045086547481805,0.0073736838272727015
2459123.5195258018,0.9974238489939847,0.007340342151148383
2459123.520920502,0.999045374797509,0.007347367254987734
2459123.5223152023,1.0042418919674618,0.00737847430577354
2459123.5237099025,0.9975545009548249,0.007342846609978326
2459123.5251046023,1.0019147165407967,0.007372612128749207
2459123.5264993026,1.0033303044259803,0.007384812671500247
2459123.527894003,0.9957927702274767,0.0073389983863685814
2459123.529288703,0.9998618104401595,0.0073690464233558475
2459123.530683403,0.9909199981217783,0.007325708479083464
2459123.532078103,0.9984619210012478,0.007372676808780114
2459123.5334728034,0.999666353036913,0.007378574471773561
2459123.5348675037,0.9962879376874225,0.0073620480837880845
2459123.5362622035,1.0054350675668173,0.007416341280789355
2459123.5376569037,0.995517949389971,0.007363282412362301
2459123.539051604,0.9992175144605568,0.00738883585171562
2459123.5404463043,1.0004625022154183,0.0073970569288568724
2459123.541841004,1.004369954833049,0.007421159807553035
2459123.5432357043,0.9939878960613132,0.007362100280043847
2459123.5446304046,1.0030114887809471,0.0074181084392865955
2459123.546025105,1.000929162534776,0.007414524633211207
2459123.5474198046,0.9962767680264737,0.007386681475885002
2459123.548814505,1.0023451663717664,0.0074284072942353285
2459123.550209205,1.0001487528321817,0.007414745160393069
2459123.5516039054,1.000189706721407,0.0074262534246122185
2459123.552998605,1.0013856793709048,0.00743292123685629
2459123.5543933054,0.9985567850220888,0.0074156010212632975
2459123.5557880057,0.9993729239789813,0.00742064532557018
2459123.5571827055,1.0014744477844608,0.007436499660428363
2459123.5585774058,1.0043271674756622,0.0074551172242803
2459123.559972106,0.9967175085392175,0.007419865316828309
2459123.5613668063,1.0072752764945025,0.007481333435619191
2459123.562761506,0.9951705262175704,0.007419366024675862
2459123.5641562063,0.9998906408253933,0.007445422899742865
2459123.5655509066,1.0003656182049765,0.007444860632779466
2459123.566945607,1.0002576879691083,0.007449935116955156
2459123.5683403066,0.9999441852873782,0.007459368372391665
2459123.569735007,0.9989229460642444,0.007448865540096925
2459123.571129707,0.9988704304848357,0.007454179263076231
2459123.5725244074,0.998907382964839,0.007458321931656401
2459123.573919107,1.0015699925263863,0.007469764777911145
2459123.5753138075,0.9997625922361125,0.007461646464389286
2459123.5767085077,0.9969422451691352,0.007450327072775753
2459123.578103208,1.0032411209569272,0.00749236528654375
2459123.579497908,1.001032574503614,0.007481693241934897
2459123.580892608,1.0017759108364093,0.007485738990559918
2459123.5822873083,1.0005901574967224,0.007479838151452899
2459123.5836820086,0.9980355253765474,0.007475109212224133
2459123.5850767083,0.9984812105290142,0.007478940199385939
2459123.5864714086,1.0031199111607467,0.007509134004575937
2459123.587866109,1.002834112834464,0.0075106892573865046
2459123.589260809,0.9989471922456102,0.007485386119092277
2459123.590655509,0.9987643930808898,0.007484927488461381
2459123.592050209,1.0035325157504007,0.0075177526467147485
2459123.5934449094,0.9971447917255337,0.00748316736158331
2459123.5948396097,1.0010250600193051,0.007508295952630045
2459123.5962343095,0.999980464145641,0.007509467582237278
2459123.5976290097,0.9988745195814741,0.007502314311011253
2459123.59902371,1.0013420092126732,0.007512912309359815
2459123.6004184103,1.002241580622729,0.007526332373417657
2459123.60181311,1.0005143031939947,0.007513543232973629
2459123.6032078103,1.0063623090687057,0.0075629828030091785
2459123.6046025106,0.9790858919346912,0.007410509435167917
2459123.6059972104,0.9817215244980877,0.007429483397001279
2459123.6073919106,0.9793155345577504,0.007420920108817924
2459123.608786611,0.9807080129636818,0.007428987158482833
2459123.610181311,0.98159254673289,0.007444179283657627
2459123.611576011,0.9803924155937915,0.007433288539599021
2459123.612970711,0.9812063757582647,0.0074375616121323575
2459123.6143654115,0.9760286790080082,0.007408534694109769
2459123.6157601117,0.9863869828198016,0.0074725657916631175
2459123.6171548115,0.9778754274731528,0.007431731561266015
2459123.618549512,0.9769623773802953,0.00742801241828897
2459123.619944212,0.9822354152710119,0.0074520535538826465
2459123.6213389123,0.9818099904332277,0.007454391213887893
2459123.622733612,0.9822366093971817,0.007462234949168905
2459123.6241283123,0.9811557481347137,0.007454624711724135
2459123.6255230126,0.979766388156614,0.007451204753032241
2459123.626917713,0.9763281551934552,0.007431948560959354
2459123.6283124126,0.9808611650028338,0.0074643637014536425
